Player Name,Location,Singles UTR,Doubles UTR,Profile Link
Jacob Fearnley,"M • Edinburgh, United Kingdom",15.23,13.73,https://app.utrsports.net/profiles/4447327
Alexander Bublik,"M • Gatchina, Russia",15.22,14.34,https://app.utrsports.net/profiles/55908
Corentin Moutet,"M • Boulogne-Billancourt, France",N/A,N/A,https://app.utrsports.net/profiles/93116
Sebastian Baez,M • Argentina,15.22,14.28,https://app.utrsports.net/profiles/238427
Roberto Carballes Baena,"M • Granada, Spain",15.21,14.05,https://app.utrsports.net/profiles/218159
Nicolas Jarry,M • Chile,15.19,14.81,https://app.utrsports.net/profiles/2601750
Mattia Bellucci,M • Italy,15.17,13.75,https://app.utrsports.net/profiles/273161
Nuno Borges,"M • Maia, Portugal",15.15,14.32,https://app.utrsports.net/profiles/1000132
Arthur Rinderknech,M • France,15.15,14.10,https://app.utrsports.net/profiles/56735
Pedro Martinez,M • Spain,N/A,N/A,https://app.utrsports.net/profiles/4810347
Stan Wawrinka,"M • Monaco-Ville, Monaco",N/A,N/A,https://app.utrsports.net/profiles/200399
Pavel Kotov,M • Russia,15.11,13.95,https://app.utrsports.net/profiles/84505
Sebastian Ofner,M • Austria,15.10,14.13,https://app.utrsports.net/profiles/65365
Benjamin Bonzi,M • France,15.08,13.91,https://app.utrsports.net/profiles/52848
Mariano Navone,M • Argentina,15.07,14.32,https://app.utrsports.net/profiles/319597
Lloyd Harris,M • South Africa,15.06,13.63,https://app.utrsports.net/profiles/203816
Bu Yunchaokete,"M • DeLand, FL",15.04,13.66,https://app.utrsports.net/profiles/795419
Luciano Darderi,M • Italy,15.03,14.21,https://app.utrsports.net/profiles/802583
Jerome Kym,M • Switzerland,15.03,13.65,https://app.utrsports.net/profiles/275868
Max Purcell,"M • Sydney, Australia",14.98,15.00,https://app.utrsports.net/profiles/4307805
Aleksandar Vukic,M • Australia,14.96,14.14,https://app.utrsports.net/profiles/4828579
Lucas Pouille,"M • Dubai, United Arab Emirates",14.96,14.56,https://app.utrsports.net/profiles/49953
Fabio Fognini,"M • Arma Di Taggia, Italy",N/A,N/A,https://app.utrsports.net/profiles/3570
Botic Van De Zandschulp,M • Netherlands,14.94,14.96,https://app.utrsports.net/profiles/59419
Dusan Lajovic,"M • Stara Pazova, Serbia",N/A,N/A,https://app.utrsports.net/profiles/224142
Fabian Marozsan,M • Hungary,14.93,14.03,https://app.utrsports.net/profiles/4200843
Soonwoo Kwon,M • South Korea,14.91,13.11,https://app.utrsports.net/profiles/1940917
John Isner,"M • Tampa, FL",N/A,N/A,https://app.utrsports.net/profiles/3700
Pablo Carreno Busta,"M • Barcelona, Spain",14.88,14.44,https://app.utrsports.net/profiles/217512
Reilly Opelka,"M • Palm Coast, FL",N/A,N/A,https://app.utrsports.net/profiles/196974
Adrian Mannarino,"M • Valletta, Malta",14.86,14.17,https://app.utrsports.net/profiles/3701
John Millman,"M • Cannon Hill, Australia",N/A,N/A,https://app.utrsports.net/profiles/4064566
