eventId,eventName,eventStartDate,eventEndDate,drawName,resultDate,round,roundCode,matchId,winner1_id,winner1_name,winner1_utr,winner1_nationality,winner2_id,winner2_name,winner2_utr,winner2_nationality,loser1_id,loser1_name,loser1_utr,loser1_nationality,loser2_id,loser2_name,loser2_utr,loser2_nationality,opponent_utr,is_doubles,winnerSets,loserSets,tiebreakSets,sourceType,outcome,score_details,isWinner,win_margin,is_notable
2390996,Denison Invitational,2024-09-07 00:00:00,2024-09-08 00:00:00,Singles,2024-09-08 00:00:00,,,48161575,4030701,Anmay Devaraj,11.24,USA,,,,,4167205,Martin Pestana,10.3,PER,,,,,10.3,True,"[6, 6, 0, 0, 0, 0]","[1, 2, 0, 0, 0, 0]","[None, None, 0, 0, 0, None]",sanctioned,W,"{'1': {'winner': 6, 'loser': 1, 'tiebreak': None, 'winnerTiebreak': None}, '2': {'winner': 6, 'loser': 2, 'tiebreak': None, 'winnerTiebreak': None}}",True,9,False
2390996,Denison Invitational,2024-09-07 00:00:00,2024-09-08 00:00:00,Doubles,2024-09-08 00:00:00,,,48161624,4228695,Ansh Shah,11.63,USA,4030701,Anmay Devaraj,11.24,USA,223751,Alex Feies,12.21,USA,890721,Brendan Nicholas Hendrata,10.46,INA,11.335,True,"[6, 0, 0, 0, 0, 0]","[4, 0, 0, 0, 0, 0]","[None, 0, 0, 0, 0, None]",sanctioned,W,"{'1': {'winner': 6, 'loser': 4, 'tiebreak': None, 'winnerTiebreak': None}}",True,2,False
2282394,Dual Match: Johns Hopkins University vs Case Western Reserve University,2024-05-12 00:00:00,2024-05-12 00:00:00,#2 Doubles,2024-05-12 00:00:00,,,45548027,98324,Sahil Dayal,9.85,USA,4030701,Anmay Devaraj,11.24,USA,4745229,Daniel Ardila,11.03,USA,3855960,Marco Antonio Azar,10.56,LIB,10.795,True,"[8, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0]","[None, 0, 0, 0, 0, None]",sanctioned,W,"{'1': {'winner': 8, 'loser': 3, 'tiebreak': None, 'winnerTiebreak': None}}",True,5,False
2277211,Dual Match: Illinois Institute of Technology vs Case Western Reserve University,2024-05-11 00:00:00,2024-05-11 00:00:00,#2 Doubles,2024-05-11 00:00:00,,,45500974,98324,Sahil Dayal,9.85,USA,4030701,Anmay Devaraj,11.24,USA,3342326,Pol Dueso Güell,8.61,ESP,147666,Nabil Fawaz,8.27,USA,8.44,True,"[8, 0, 0, 0, 0, 0]","[5, 0, 0, 0, 0, 0]","[None, 0, 0, 0, 0, None]",sanctioned,W,"{'1': {'winner': 8, 'loser': 5, 'tiebreak': None, 'winnerTiebreak': None}}",True,3,False
2263881,Dual Match: Case Western Reserve University vs University of Chicago,2024-04-27 00:00:00,2024-04-27 00:00:00,#2 Doubles,2024-04-27 00:00:00,,,45289890,98324,Sahil Dayal,9.85,USA,4030701,Anmay Devaraj,11.24,USA,130232,Derek Hsieh,11.87,USA,3742796,Robert Zhang,8.21,USA,10.04,True,"[8, 0, 0, 0, 0, 0]","[5, 0, 0, 0, 0, 0]","[None, 0, 0, 0, 0, None]",sanctioned,W,"{'1': {'winner': 8, 'loser': 5, 'tiebreak': None, 'winnerTiebreak': None}}",True,3,False
2263832,Dual Match: Emory University vs Case Western Reserve University,2024-04-26 00:00:00,2024-04-26 00:00:00,#2 Doubles,2024-04-26 00:00:00,,,45289464,98324,Sahil Dayal,9.85,USA,4030701,Anmay Devaraj,11.24,USA,95698,Nolan Shah,11.16,USA,934979,Dean Kamenev,11.05,USA,11.105,True,"[8, 0, 0, 0, 0, 0]","[6, 0, 0, 0, 0, 0]","[None, 0, 0, 0, 0, None]",sanctioned,W,"{'1': {'winner': 8, 'loser': 6, 'tiebreak': None, 'winnerTiebreak': None}}",True,2,False
2255679,Dual Match: University of Rochester vs Case Western Reserve University,2024-04-25 00:00:00,2024-04-25 00:00:00,#2 Doubles,2024-04-25 00:00:00,,,45205901,98324,Sahil Dayal,9.85,USA,4030701,Anmay Devaraj,11.24,USA,999632,Krish Vennam,10.64,USA,1908262,Surya Rajamani,9.11,USA,9.875,True,"[8, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0]","[None, 0, 0, 0, 0, None]",sanctioned,W,"{'1': {'winner': 8, 'loser': 3, 'tiebreak': None, 'winnerTiebreak': None}}",True,5,False
2244864,Dual Match: Case Western Reserve University vs Carnegie Mellon University,2024-04-20 00:00:00,2024-04-20 00:00:00,#2 Doubles,2024-04-20 00:00:00,,,45096951,4030701,Anmay Devaraj,11.24,USA,98324,Sahil Dayal,9.85,USA,129750,Akshay Joshi,9.89,USA,101110,Derek Wong,,USA,9.89,True,"[8, 0, 0, 0, 0, 0]","[7, 0, 0, 0, 0, 0]","[7, 0, 0, 0, 0, None]",sanctioned,W,"{'1': {'winner': 8, 'loser': 7, 'tiebreak': 1, 'winnerTiebreak': 7}}",True,1,False
2263743,Dual Match: Denison University vs Case Western Reserve University,2024-04-19 00:00:00,2024-04-19 00:00:00,#2 Doubles,2024-04-19 00:00:00,,,45287008,98324,Sahil Dayal,9.85,USA,4030701,Anmay Devaraj,11.24,USA,172878,Jacob Patterson,11.45,USA,1915083,Kael Shalin SHAH,12.22,KEN,11.835,True,"[8, 0, 0, 0, 0, 0]","[4, 0, 0, 0, 0, 0]","[None, 0, 0, 0, 0, None]",sanctioned,W,"{'1': {'winner': 8, 'loser': 4, 'tiebreak': None, 'winnerTiebreak': None}}",True,4,False
2263743,Dual Match: Denison University vs Case Western Reserve University,2024-04-19 00:00:00,2024-04-19 00:00:00,#6 Singles,2024-04-19 00:00:00,,,45287010,4030701,Anmay Devaraj,11.24,USA,,,,,2844251,Colin Gramley,10.25,USA,,,,,10.25,True,"[3, 6, 6, 0, 0, 0]","[6, 4, 2, 0, 0, 0]","[None, None, None, 0, 0, None]",sanctioned,W,"{'1': {'winner': 3, 'loser': 6, 'tiebreak': None, 'winnerTiebreak': None}, '2': {'winner': 6, 'loser': 4, 'tiebreak': None, 'winnerTiebreak': None}, '3': {'winner': 6, 'loser': 2, 'tiebreak': None, 'winnerTiebreak': None}}",True,3,False
2233753,Dual Match: Grove City College vs Case Western Reserve University,2024-04-13 00:00:00,2024-04-13 00:00:00,#2 Doubles,2024-04-13 00:00:00,,,44949005,4030701,Anmay Devaraj,11.24,USA,862626,Casey Hishinuma,11.13,USA,4236602,Jose Pablo Leon,6.61,CHI,2730461,Josiah Newton,7.2,USA,6.905,True,"[8, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0]","[None, 0, 0, 0, 0, None]",sanctioned,W,"{'1': {'winner': 8, 'loser': 3, 'tiebreak': None, 'winnerTiebreak': None}}",True,5,False
2222798,Dual Match: University of Rochester vs Case Western Reserve University,2024-04-06 00:00:00,2024-04-06 00:00:00,#3 Doubles,2024-04-06 00:00:00,,,44799930,4228695,Ansh Shah,11.63,USA,4030701,Anmay Devaraj,11.24,USA,489846,Kavin Shukla,10.39,USA,719617,David Riccio,8.87,USA,9.629999999999999,True,"[8, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 0]","[None, 0, 0, 0, 0, None]",sanctioned,W,"{'1': {'winner': 8, 'loser': 2, 'tiebreak': None, 'winnerTiebreak': None}}",True,6,False
2222796,Dual Match: Kenyon College vs Case Western Reserve University,2024-04-05 00:00:00,2024-04-05 00:00:00,#2 Doubles,2024-04-05 00:00:00,,,44799915,98324,Sahil Dayal,9.85,USA,4030701,Anmay Devaraj,11.24,USA,4198515,Alejandro Gonzalez,11.13,MEX,1060816,Eliezer Gonzalez,10.12,VEN,10.625,True,"[8, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 0]","[None, 0, 0, 0, 0, None]",sanctioned,W,"{'1': {'winner': 8, 'loser': 2, 'tiebreak': None, 'winnerTiebreak': None}}",True,6,False
2209802,Dual Match: Case Western Reserve University vs University of Northwestern Ohio,2024-03-29 00:00:00,2024-03-29 00:00:00,#2 Doubles,2024-03-29 00:00:00,,,44596779,4030701,Anmay Devaraj,11.24,USA,4667245,Vishwa Aduru,11.33,USA,2749788,Sergio Conde,11.57,ESP,4197610,Lucas Perez,11.29,ARG,11.43,True,"[6, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0]","[None, 0, 0, 0, 0, None]",sanctioned,W,"{'1': {'winner': 6, 'loser': 3, 'tiebreak': None, 'winnerTiebreak': None}}",True,3,False
2233654,Dual Match: Babson College vs Case Western Reserve University,2024-03-16 00:00:00,2024-03-16 00:00:00,#2 Doubles,2024-03-16 00:00:00,,,44939171,98324,Sahil Dayal,9.85,USA,4030701,Anmay Devaraj,11.24,USA,4316242,Caymus Choi,10.54,CHN,1741031,Ole Tinius Stave Lepsøe,10.93,NOR,10.735,True,"[7, 0, 0, 0, 0, 0]","[5, 0, 0, 0, 0, 0]","[None, 0, 0, 0, 0, None]",sanctioned,W,"{'1': {'winner': 7, 'loser': 5, 'tiebreak': None, 'winnerTiebreak': None}}",True,2,False
2181602,Dual Match: Southwestern University vs Case Western Reserve University,2024-03-15 00:00:00,2024-03-15 00:00:00,#6 Singles,2024-03-15 00:00:00,,,44246261,4030701,Anmay Devaraj,11.24,USA,,,,,104717,Ryan Flanagan,10.2,USA,,,,,10.2,True,"[6, 6, 0, 0, 0, 0]","[2, 2, 0, 0, 0, 0]","[None, None, 0, 0, 0, None]",sanctioned,W,"{'1': {'winner': 6, 'loser': 2, 'tiebreak': None, 'winnerTiebreak': None}, '2': {'winner': 6, 'loser': 2, 'tiebreak': None, 'winnerTiebreak': None}}",True,8,False
